legacy_id,donor_name,gift_date,gift_amount,gift_type,notes,migrated_date,data_source
30066,Martyn H.,2020-05-09,24.25,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30067,Howard Steele,2020-06-21,11.79,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30068,H. Steele,2020-12-01,84.67,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30069,Howard S.,2018-01-03,2.59,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30070,H. Steele,2019-01-31,24.95,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30071,"Steele, Howard",2022-12-02,21.79,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30072,J. Miller,2018-07-23,6.2,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30073,Jenna Miller,2021-06-14,29.31,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30074,Jenna Miller,2020-07-09,19.81,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30075,Jenna Miller,2022-10-19,29.0,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30076,Jenna M.,2018-04-22,15.79,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30077,Janet H.,2019-11-26,17.89,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30078,Janet H.,2018-07-06,83.79,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30079,J. Howarth,2022-11-23,48.17,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30080,Janet H.,2021-08-12,8.81,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30081,Diane F.,2019-12-20,39.33,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30082,"Fletcher, Diane",2022-09-12,5.76,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30083,"Fletcher, Diane",2020-05-31,9.99,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30084,Diane F.,2021-12-04,12.02,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30085,Sally W.,2021-10-24,67.91,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30086,S. Hargreaves,2019-12-22,31.29,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30087,Shane H.,2020-08-23,9.07,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30088,Shane H.,2022-09-21,12.89,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30089,"Hargreaves, Shane",2020-11-20,9.87,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30090,H. Powell,2020-10-18,28.71,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30091,H. Powell,2021-12-14,18.08,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30092,"Powell, Hugh",2022-04-20,17.9,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30093,"Davis, Amanda",2018-07-06,25.21,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30094,Rebecca J.,2021-03-08,9.22,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30095,V. Coleman,2019-02-23,28.56,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30096,Emma W.,2021-05-04,12.82,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30097,"King, Nathan",2019-06-04,14.77,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30098,N. King,2020-12-25,32.78,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30099,Nathan King,2022-08-15,28.97,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30100,"King, Nathan",2021-12-12,59.71,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30101,David H.,2019-05-18,4.87,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30102,Malcolm Smith,2022-07-20,54.36,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30103,Malcolm S.,2019-12-09,155.28,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30104,"Smith, Malcolm",2018-08-07,7.74,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30105,"Smith, Malcolm",2020-10-07,2.38,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30106,"Jones, Steven",2018-10-22,16.14,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30107,Raymond B.,2018-11-01,18.74,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30108,Raymond B.,2022-05-20,37.69,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30109,B. Lee,2019-03-04,10.21,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30110,B. Lee,2018-05-02,21.43,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30111,"Lee, Bethany",2020-10-13,4.79,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30112,B. Lee,2022-03-13,34.1,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30113,Bethany Lee,2019-11-15,213.9,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30114,Josh Thomas,2022-12-19,6.18,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30115,"Thomas, Josh",2021-11-18,49.08,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30116,"Thomas, Josh",2021-02-13,2.93,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30117,Josh T.,2021-02-17,32.53,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30118,J. Thomas,2021-07-03,49.59,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30119,Marion H.,2020-03-23,179.06,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30120,M. Hunt,2021-04-12,24.08,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30121,John Williams,2019-08-06,58.65,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30122,John Williams,2020-05-05,56.78,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30123,J. Williams,2020-12-30,32.9,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30124,C. Elliott,2022-10-29,25.48,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30125,"Elliott, Cameron",2020-09-14,18.3,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30126,Cameron Elliott,2018-08-29,3.11,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30127,Cameron E.,2018-06-14,70.8,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30128,Dawn S.,2019-03-23,28.64,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30129,Dawn S.,2022-12-21,11.37,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30130,"Singh, Dawn",2020-10-02,22.89,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30131,Dawn Singh,2018-03-01,31.19,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30132,"Singh, Dawn",2021-11-08,12.2,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30133,E. Ross,2021-09-20,68.15,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30134,Elliot Ross,2019-09-11,6.73,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30135,Bryan B.,2022-10-16,7.37,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30136,B. Barker,2020-01-20,40.21,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30137,Bryan B.,2020-12-06,24.32,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30138,Bryan B.,2019-03-25,6.64,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30139,Bryan Barker,2022-05-13,110.13,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30140,F. Thomas,2021-04-09,54.92,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30141,"Thomas, Frederick",2020-05-09,10.88,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30142,David Booth,2021-03-11,35.26,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30143,David B.,2019-05-04,16.62,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30144,D. Booth,2018-01-05,3.64,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30145,Lindsey Moore,2020-11-12,65.1,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30146,L. Moore,2019-06-06,17.77,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30147,Lindsey Moore,2019-08-27,46.11,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30148,Lindsey Moore,2022-10-21,17.16,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30149,J. Coleman,2022-08-25,26.31,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30150,"Coleman, Jodie",2020-05-15,9.43,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30151,Jodie Coleman,2019-08-25,11.13,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30152,"Coleman, Jodie",2022-07-03,18.18,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30153,C. Moore,2019-05-11,38.37,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30154,Clifford M.,2021-06-23,21.77,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30155,Stephanie Bruce,2019-03-05,45.93,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30156,Stephanie Bruce,2020-03-15,38.68,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30157,"Bruce, Stephanie",2020-04-18,137.43,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30158,L. Lewis,2019-03-17,673.2,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30159,L. Mistry,2021-11-25,14.13,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30160,Jason J.,2019-04-17,43.71,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30161,J. Joyce,2020-11-12,53.71,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30162,"Joyce, Jason",2020-02-23,10.37,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30163,J. Joyce,2019-10-14,85.99,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30164,Jason J.,2020-01-20,55.12,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30165,R. Sutton,2019-11-21,24.0,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30166,R. Sutton,2021-01-17,6.37,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30167,"Sutton, Ruth",2021-03-04,12.82,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30168,Ruth Sutton,2020-10-19,4.71,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30169,"Sutton, Ruth",2019-09-25,1.84,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30170,Sarah Chandler,2018-10-23,10.19,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30171,S. Chandler,2019-05-05,18.17,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30172,S. Chandler,2021-10-08,10.7,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30173,"Davies, Annette",2022-12-24,12.3,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30174,"Davies, Annette",2020-04-27,65.18,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30175,Joshua Williams,2021-12-31,98.83,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30176,Mary H.,2019-09-09,2.81,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30177,Mary H.,2018-12-27,17.86,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30178,"Hughes, Kayleigh",2020-05-22,26.49,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30179,H. Powell,2018-09-26,1.78,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30180,"Powell, Holly",2018-01-17,33.54,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30181,"Powell, Holly",2020-09-06,1.97,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30182,H. Powell,2020-09-01,21.76,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30183,Holly P.,2020-01-21,59.23,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30184,Heather L.,2018-03-26,17.63,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30185,Declan G.,2020-12-22,34.03,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30186,Declan Green,2020-11-08,17.95,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30187,W. Holland,2021-05-30,4.1,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30188,L. Henry,2019-09-24,37.05,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30189,"Henry, Leonard",2019-03-07,2.02,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30190,Leonard Henry,2019-10-26,36.05,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30191,Gerard Brennan,2022-08-12,72.92,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30192,"Brennan, Gerard",2021-02-12,59.17,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30193,G. Brennan,2021-03-20,13.26,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30194,G. Brennan,2020-05-05,12.45,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30195,Gerard Brennan,2022-10-06,20.67,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30196,Rosie Jones,2019-02-19,25.8,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30197,Rosie Jones,2021-06-09,32.02,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30198,Rosie J.,2019-09-18,1.91,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30199,R. Jones,2018-10-12,2.4,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30200,Rosie Jones,2018-07-10,19.55,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30201,"Townsend, Peter",2022-04-12,4.35,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30202,P. Townsend,2019-12-21,18.78,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30203,P. Townsend,2021-10-01,2.51,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30204,Peter T.,2020-11-10,8.57,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30205,M. Williams,2022-05-20,14.56,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30206,"Williams, Martin",2022-03-05,22.68,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30207,M. Williams,2022-08-30,8.35,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30208,Martin W.,2018-05-04,7.24,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30209,Sheila Morgan,2021-04-04,11.49,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30210,S. Morgan,2020-01-11,25.35,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30211,"Morgan, Sheila",2018-03-26,16.52,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30212,"Morgan, Sheila",2022-04-04,162.78,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30213,A. Dale,2019-12-04,10.26,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30214,A. Dale,2019-11-29,393.15,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30215,"Dale, Adrian",2020-10-18,7.58,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30216,G. Smith,2020-07-17,27.37,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30217,G. Smith,2021-01-31,68.96,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30218,Graham Smith,2021-01-07,4.26,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30219,G. Smith,2018-06-24,10.02,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30220,"Smith, Graham",2020-03-22,6.56,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30221,Edward D.,2020-11-10,76.98,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30222,E. Davis,2022-03-20,22.2,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30223,Edward D.,2019-08-28,4.44,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30224,"Davis, Edward",2020-03-30,7.77,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30225,Edward Davis,2021-09-28,3.53,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30226,Gregory B.,2020-05-17,27.16,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30227,D. Stewart,2021-05-30,9.11,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30228,D. Stewart,2020-04-15,24.83,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30229,D. Stewart,2020-10-02,21.24,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30230,"Stewart, Declan",2021-06-16,110.21,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30231,Ashleigh Hudson,2018-05-02,51.65,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30232,Ashleigh H.,2021-01-14,68.25,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30233,Jemma Bentley,2018-11-27,7.16,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30234,Jemma Bentley,2021-09-18,5.89,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30235,Jemma B.,2018-04-02,82.23,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30236,Jemma Bentley,2022-02-23,88.35,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30237,Jemma Bentley,2020-05-09,15.33,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30238,Marcus Connolly,2018-10-30,13.66,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30239,Helen Wright,2019-04-28,36.56,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30240,H. Wright,2020-10-02,68.04,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30241,Teresa Hill,2021-01-27,34.68,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
